# ----------------------------------------
# Landing page: Landing page
# Account: portfolio-analytics
# Property: danieljoffe.com
# ----------------------------------------
# 
# All Users
# Start date: 20260525
# End date: 20260621
Landing page,Sessions,Active users,New users,Average engagement time per session,Key events,Total revenue,Session key event rate
/,31,24,22,32.935483870967744,0,0,0
/about,4,4,4,13.75,0,0,0
/audit/insights,4,1,0,436,0,0,0
,2,1,0,0.5,0,0,0
/projects,2,2,0,93,0,0,0
(not set),1,1,0,39475,0,0,0
/audit,1,1,1,3982,0,0,0
/blog/calendly-embed-timeout-fallback,1,1,1,0,0,0,0
/blog/graceful-degradation-third-party-embeds,1,1,1,0,0,0,0
/blog/hydration-mismatch-use-synced-state,1,1,1,0,0,0,0
/blog/pnpm-phantom-dependencies,1,1,1,10,0,0,0
/blog/railway-fastapi-playwright-deploy,1,1,1,0,0,0,0
/blog/rule-of-three-design-systems,1,1,1,0,0,0,0
/blog/visual-regression-ci-pipeline,1,1,1,72,0,0,0
/projects/job-pipeline-case-study,1,1,1,3,0,0,0
