# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: portfolio-analytics
# Property: danieljoffe.com
# ----------------------------------------
# 
# All Users
# Start date: 20260525
# End date: 20260621
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/,38,24,1.5833333333333333,1668.1666666666667,115,0,0
/audit/insights,21,1,21,2715,52,0,0
/projects,9,5,1.8,35.6,25,0,0
/about,8,6,1.3333333333333333,19.166666666666668,28,0,0
/audit,4,1,4,1377,16,0,0
/blog,2,2,1,81.5,4,0,0
/blog/pnpm-phantom-dependencies,2,1,2,10,7,0,0
/projects/component-library-case-study,2,1,2,4,4,0,0
/tools/admin/audit,2,1,2,58,6,0,0
/tools/login,2,1,2,534,7,0,0
/audit/r/c0114799-5052-4ded-9b8a-22d1e13f35be,1,1,1,80,3,0,0
/audit/r/f171fe46-5f67-4f98-a6dc-8137ac175101,1,1,1,1,1,0,0
/blog/calendly-embed-timeout-fallback,1,1,1,0,3,0,0
/blog/graceful-degradation-third-party-embeds,1,1,1,0,3,0,0
/blog/hydration-mismatch-use-synced-state,1,1,1,0,3,0,0
/blog/operating-llm-pipelines-in-production,1,1,1,38,2,0,0
/blog/railway-fastapi-playwright-deploy,1,1,1,0,3,0,0
/blog/rule-of-three-design-systems,1,1,1,0,3,0,0
/blog/visual-regression-ci-pipeline,1,1,1,72,5,0,0
/experience,1,1,1,159,2,0,0
/projects/audit-tool-case-study/opengraph-image,1,1,1,71,2,0,0
/projects/job-pipeline-case-study,1,1,1,3,4,0,0
/tools/admin/jobs,1,1,1,935,2,0,0
